index,id,type,name_en,name_zh,mana,max_uses,price,spawn_level,spawn_probability,related_projectiles,custom_xml_file,never_unlimited,custom_uses_logic,description_en,description_zh,action_summary,action_body_lines
19,WHITE_HOLE,ACTION_TYPE_PROJECTILE,White hole,白洞,180,3,200,"0,2,4,6,10","0.05,0.05,0.1,0.2,0.5",data/entities/projectiles/deck/white_hole.xml,data/entities/misc/custom_cards/white_hole.xml,true,,An orb of positive energy that destroys everything in its path,一个正面能量球体，摧毁所及的一切,"投射物/触发: add_projectile(""data/entities/projectiles/deck/white_hole.xml"") | 状态修正: c.fire_rate_wait += 80; c.screenshake += 20",3
20,BLACK_HOLE_BIG,ACTION_TYPE_STATIC_PROJECTILE,Giga black hole,巨大黑洞,240,6,320,"1,3,5,6,10","0.8,0.8,0.8,0.8,0.5",data/entities/projectiles/deck/black_hole_big.xml,data/entities/misc/custom_cards/black_hole_big.xml,,,A growing orb of negative energy that destroys everything in its reach,不断增长的负面能量球体，摧毁所及的一切,"投射物/触发: add_projectile(""data/entities/projectiles/deck/black_hole_big.xml"") | 状态修正: c.fire_rate_wait += 80; c.screenshake += 10",3
21,WHITE_HOLE_BIG,ACTION_TYPE_STATIC_PROJECTILE,Giga white hole,巨大白洞,240,6,320,"1,3,5,6,10","0.05,0.05,0.1,0.4,0.2",data/entities/projectiles/deck/white_hole_big.xml,data/entities/misc/custom_cards/white_hole_big.xml,,,A growing orb of positive energy that destroys everything in its reach,不断增长的正面能量球体，摧毁所及的一切,"投射物/触发: add_projectile(""data/entities/projectiles/deck/white_hole_big.xml"") | 状态修正: c.fire_rate_wait += 80; c.screenshake += 10",3
22,BLACK_HOLE_GIGA,ACTION_TYPE_STATIC_PROJECTILE,Omega Black Hole,终结黑洞,500,6,600,10,1,data/entities/projectiles/deck/black_hole_giga.xml,data/entities/misc/custom_cards/black_hole_giga.xml,true,,Even light dies eventually...,即使光也终将灭亡...,"投射物/触发: add_projectile(""data/entities/projectiles/deck/black_hole_giga.xml"") | 状态修正: c.fire_rate_wait += 120; c.screenshake += 40; current_reload_time += 100",8
23,WHITE_HOLE_GIGA,ACTION_TYPE_STATIC_PROJECTILE,Omega white hole,终结白洞,500,6,600,10,1,data/entities/projectiles/deck/white_hole_giga.xml,data/entities/misc/custom_cards/white_hole_giga.xml,true,,A massive orb of positive energy that destroys everything in its reach,一个巨大的正面能量球体，摧毁所及的一切,"投射物/触发: add_projectile(""data/entities/projectiles/deck/white_hole_giga.xml"") | 状态修正: c.fire_rate_wait += 120; c.screenshake += 40; current_reload_time += 100",8
24,TENTACLE_PORTAL,ACTION_TYPE_PROJECTILE,Eldritch portal,怪异传送门,140,5,220,"1,2,3,4,10","0.4,0.4,0.4,0.5,0.2",data/entities/projectiles/deck/tentacle_portal.xml,,,,Summons a one-way portal to a sinister realm,召唤一座通往险恶境地的单向传送门,"投射物/触发: add_projectile(""data/entities/projectiles/deck/tentacle_portal.xml"") | 状态修正: c.fire_rate_wait += 30",2
25,SPITTER,ACTION_TYPE_PROJECTILE,Spitter bolt,分裂弹,5,120,110,"0,1,2,3","1,1,1,0.5",data/entities/projectiles/deck/spitter.xml,,,,A short-lived magical bolt,寿命短暂的魔法弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/spitter.xml"") | 状态修正: c.fire_rate_wait -= 1; c.screenshake += 0.1; c.spread_degrees += 6.0 | 状态赋值: c.dampening = 0.1",6
26,SPITTER_TIMER,ACTION_TYPE_PROJECTILE,Spitter bolt with timer,带有定时的分裂弹,10,120,140,"0,1,2,3","0.5,0.5,0.5,1",data/entities/projectiles/deck/spitter.xml,,,,A short-lived magical bolt that casts another spell after a timer runs out,在过去一段时间后施放另一法术的寿命短暂魔法弹,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/spitter.xml"", 40, 1) | 状态修正: c.fire_rate_wait -= 1; c.screenshake += 0.1; c.spread_degrees += 6.0 | 状态赋值: c.dampening = 0.1",6
27,SPITTER_TIER_2,ACTION_TYPE_PROJECTILE,Large spitter bolt,大型分裂弹,25,120,190,"2,3,4,5","1,1,1,0.5",data/entities/projectiles/deck/spitter_tier_2.xml,,,,A more powerful version of Spitter Bolt,分裂弹的更强大版本,"投射物/触发: add_projectile(""data/entities/projectiles/deck/spitter_tier_2.xml"") | 状态修正: c.fire_rate_wait -= 2; c.screenshake += 1.1; c.spread_degrees += 7.5 | 状态赋值: c.dampening = 0.2",6
28,SPITTER_TIER_2_TIMER,ACTION_TYPE_PROJECTILE,Large spitter bolt with timer,带有定时的大型分裂弹,30,120,220,"2,3,4,5","0.5,0.5,0.5,1",data/entities/projectiles/deck/spitter_tier_2.xml,,,,A more powerful version of Spitter Bolt that casts another spell after a timer runs out,在定时结束后施放另一法术的更强大版本分裂弹,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/spitter_tier_2.xml"", 40, 1) | 状态修正: c.fire_rate_wait -= 2; c.screenshake += 1.1; c.spread_degrees += 7.5 | 状态赋值: c.dampening = 0.2",6
29,SPITTER_TIER_3,ACTION_TYPE_PROJECTILE,Giant spitter bolt,巨型分裂弹,40,120,240,"3,4,5,6","0.8,0.8,1,1",data/entities/projectiles/deck/spitter_tier_3.xml,,,,The most powerful version of Spitter Bolt,最强大形式的分裂弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/spitter_tier_3.xml"") | 状态修正: c.fire_rate_wait -= 4; c.screenshake += 3.1; c.spread_degrees += 9.0 | 状态赋值: c.dampening = 0.3",6
30,SPITTER_TIER_3_TIMER,ACTION_TYPE_PROJECTILE,Giant spitter bolt with timer,带有定时的巨型分裂弹,45,120,260,"4,5,6","0.5,0.65,0.5",data/entities/projectiles/deck/spitter_tier_3.xml,,,,The most powerful version of Spitter Bolt that casts another spell after a timer runs out,在定时结束后施放另一法术的最强大版本分裂弹,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/spitter_tier_3.xml"", 40, 1) | 状态修正: c.fire_rate_wait -= 4; c.screenshake += 3.1; c.spread_degrees += 9.0 | 状态赋值: c.dampening = 0.3",6
31,BUBBLESHOT,ACTION_TYPE_PROJECTILE,Bubble spark,泡泡火花,5,120,100,"0,1,2,3","1,0.6,1,0.5",data/entities/projectiles/deck/bubbleshot.xml,,,,"A bouncy, inaccurate spell",弹性十足但不够准确的法术,"投射物/触发: add_projectile(""data/entities/projectiles/deck/bubbleshot.xml"") | 状态修正: c.fire_rate_wait -= 5 | 状态赋值: c.dampening = 0.1",4
32,BUBBLESHOT_TRIGGER,ACTION_TYPE_PROJECTILE,Bubble spark with trigger,带有触发的泡泡火花,16,120,120,"1,2,3","0.5,0.5,1",data/entities/projectiles/deck/bubbleshot.xml,,,,"A bouncy, inaccurate spell that casts another spell upon collision",弹性十足但不够准确的法术，在碰撞时施放另一法术,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/bubbleshot.xml"", 1) | 状态修正: c.fire_rate_wait -= 5 | 状态赋值: c.dampening = 0.1",4
33,DISC_BULLET,ACTION_TYPE_PROJECTILE,Disc projectile,碟状投射物,20,40,120,"0,2,4","1,1,0.6",data/entities/projectiles/deck/disc_bullet.xml,,,,Summons a sharp disc projectile,召唤锐利的碟状投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/disc_bullet.xml"") | 状态修正: c.fire_rate_wait += 10; c.spread_degrees += 2.0",5
34,DISC_BULLET_BIG,ACTION_TYPE_PROJECTILE,Giga disc projectile,巨型碟状投射物,38,40,180,"0,2,4","0.6,0.7,0.8",data/entities/projectiles/deck/disc_bullet_big.xml,,,,"Summons a large, serrated disc with a curious flight pattern",召唤一个飞行方式的大型带锯齿飞碟,"投射物/触发: add_projectile(""data/entities/projectiles/deck/disc_bullet_big.xml"") | 状态修正: c.fire_rate_wait += 20; c.spread_degrees += 3.4",5
35,DISC_BULLET_BIGGER,ACTION_TYPE_PROJECTILE,Summon Omega Sawblade,召唤终结锯刃,70,40,270,"2,3,5,10","0.1,0.6,1,0.4",data/entities/projectiles/deck/disc_bullet_bigger.xml,,,,That's a lot of sawblade,真的是很多的锯刃,"投射物/触发: add_projectile(""data/entities/projectiles/deck/disc_bullet_bigger.xml"") | 状态修正: c.fire_rate_wait += 40; c.spread_degrees += 6.4; c.damage_projectile_add += 0.2",6
36,BOUNCY_ORB,ACTION_TYPE_PROJECTILE,Energy sphere,能量球体,20,40,120,"0,2,4","1,1,1",data/entities/projectiles/deck/bouncy_orb.xml,,,,"A fast, arcing projectile",快速的弧线行进投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/bouncy_orb.xml"") | 状态修正: c.fire_rate_wait += 10",4
37,BOUNCY_ORB_TIMER,ACTION_TYPE_PROJECTILE,Energy sphere with timer,带有定时的能量球体,50,40,150,"0,2,4","0.5,0.5,0.5",data/entities/projectiles/deck/bouncy_orb.xml,,,,"A fast, arcing projectile that casts another spell after a timer runs out",在定时结束后施放另一法术的弧线行进快速投射物,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/bouncy_orb.xml"",200,1) | 状态修正: c.fire_rate_wait += 10",4
38,RUBBER_BALL,ACTION_TYPE_PROJECTILE,Bouncing burst,弹跳爆发,5,150,60,"0,1,6","1,1,0.2",data/entities/projectiles/deck/rubber_ball.xml,,,,A very bouncy projectile,极具弹跳力的投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/rubber_ball.xml"") | 状态修正: c.fire_rate_wait -= 2; c.spread_degrees -= 1.0",4
39,ARROW,ACTION_TYPE_PROJECTILE,Arrow,箭矢,15,40,140,"1,2,4,5","1,1,0.6,0.3",data/entities/projectiles/deck/arrow.xml,,,,Summons an arrow,召唤一支箭矢,"投射物/触发: add_projectile(""data/entities/projectiles/deck/arrow.xml"") | 状态修正: c.fire_rate_wait += 10; c.spread_degrees -= 20",5
40,POLLEN,ACTION_TYPE_PROJECTILE,Pollen,花粉,10,40,110,"0,1,3,4","0.6,1,1,0.6",data/entities/projectiles/deck/pollen.xml,,,,"A small, floating projectile that homes towards nearby creatures",小小的飘浮投射物，向附近的生物追踪而去,"投射物/触发: add_projectile(""data/entities/projectiles/deck/pollen.xml"") | 状态修正: c.fire_rate_wait += 2; c.spread_degrees += 20",4
41,LANCE,ACTION_TYPE_PROJECTILE,Glowing lance,闪耀之枪,30,30,180,"1,2,5,6","0.9,1,0.8,1",data/entities/projectiles/deck/lance.xml,data/entities/misc/custom_cards/lance.xml,,,A magical lance that cuts through soft materials,一支能够穿透柔软材料的魔法长枪,"投射物/触发: add_projectile(""data/entities/projectiles/deck/lance.xml"") | 状态修正: c.fire_rate_wait += 20; c.spread_degrees -= 20",5
42,LANCE_HOLY,ACTION_TYPE_PROJECTILE,Holy Lance,圣枪,120,30,250,"3,5,6","0.5,0.8,1",data/entities/projectiles/deck/lance_holy.xml,data/entities/misc/custom_cards/lance_holy.xml,,,"A fast-flying, penetrating lance that glows with power",快速飞行、穿透力极强的长枪，闪耀着力量的光芒,"投射物/触发: add_projectile(""data/entities/projectiles/deck/lance_holy.xml"") | 状态修正: c.fire_rate_wait += 30; c.spread_degrees -= 10",5
43,ROCKET,ACTION_TYPE_PROJECTILE,Magic missile,魔法飞弹,70,10,220,"1,2,3,4,5","1,1,1,0.5,0.3",data/entities/projectiles/deck/rocket.xml,data/entities/misc/custom_cards/rocket.xml,,,"A fiery, explosive projectile",炽烈易爆的投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/rocket.xml"") | 状态修正: c.fire_rate_wait += 60 | 状态赋值: c.ragdoll_fx = 2",5
44,ROCKET_TIER_2,ACTION_TYPE_PROJECTILE,Large magic missile,大型魔法飞弹,90,8,240,"2,3,4,5,6","0.5,1,1,0.8,0.5",data/entities/projectiles/deck/rocket_tier_2.xml,data/entities/misc/custom_cards/rocket_tier_2.xml,,,A more powerful version of Magic missile,魔法飞弹的更强大版本,"投射物/触发: add_projectile(""data/entities/projectiles/deck/rocket_tier_2.xml"") | 状态修正: c.fire_rate_wait += 90 | 状态赋值: c.ragdoll_fx = 2",5
45,ROCKET_TIER_3,ACTION_TYPE_PROJECTILE,Giant magic missile,巨型魔法飞弹,120,6,250,"2,3,4,5,6","0.25,0.5,1,1,1",data/entities/projectiles/deck/rocket_tier_3.xml,data/entities/misc/custom_cards/rocket_tier_3.xml,,,The most powerful version of Magic missile,最强大形式的魔法飞弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/rocket_tier_3.xml"") | 状态修正: c.fire_rate_wait += 120 | 状态赋值: c.ragdoll_fx = 2",5
46,GRENADE,ACTION_TYPE_PROJECTILE,Firebolt,火焰弹,50,25,170,"0,1,2,3,4","1,1,0.5,0.25,0.2",data/entities/projectiles/deck/grenade.xml,data/entities/misc/custom_cards/grenade.xml,,,"A bouncy, explosive bolt",具备弹跳能力的爆炸性魔法弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/grenade.xml"") | 状态修正: c.fire_rate_wait += 30; c.screenshake += 4.0; c.child_speed_multiplier *= 0.75",6
47,GRENADE_TRIGGER,ACTION_TYPE_PROJECTILE,Firebolt with trigger,带有触发的火焰弹,50,25,210,"0,1,2,3,4,5","0.5,0.5,0.2,0.5,0.5,1",data/entities/projectiles/deck/grenade.xml,data/entities/misc/custom_cards/grenade_trigger.xml,,,"A bouncy, explosive bolt that that casts another spell upon collision",具备弹跳能力的爆炸性魔法弹，在碰撞时施放另一法术,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/grenade.xml"", 1) | 状态修正: c.fire_rate_wait += 30; c.screenshake += 4.0; c.child_speed_multiplier *= 0.75",6
48,GRENADE_TIER_2,ACTION_TYPE_PROJECTILE,Large firebolt,大型火焰弹,90,20,220,"1,2,3,4,5","0.5,1,1,1,0.5",data/entities/projectiles/deck/grenade_tier_2.xml,data/entities/misc/custom_cards/grenade_tier_2.xml,,,A more powerful version of Firebolt,火焰弹的更强大版本,"投射物/触发: add_projectile(""data/entities/projectiles/deck/grenade_tier_2.xml"") | 状态修正: c.fire_rate_wait += 50; c.screenshake += 8.0; c.child_speed_multiplier *= 0.75",6
49,GRENADE_TIER_3,ACTION_TYPE_PROJECTILE,Giant firebolt,巨型火焰弹,90,20,220,"1,2,3,4,5","0.25,0.5,0.75,1,1",data/entities/projectiles/deck/grenade_tier_3.xml,data/entities/misc/custom_cards/grenade_tier_3.xml,,,The most powerful version of Firebolt,最强大形式的火焰弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/grenade_tier_3.xml"") | 状态修正: c.fire_rate_wait += 80; c.screenshake += 15.0; c.child_speed_multiplier *= 0.9",6
50,GRENADE_ANTI,ACTION_TYPE_PROJECTILE,Odd Firebolt,怪异火焰弹,50,25,170,"0,1,2,3,4,5","0.4,0.4,0.7,0.4,0.4,0.4",data/entities/projectiles/deck/grenade_anti.xml,data/entities/misc/custom_cards/grenade.xml,,,"A somewhat peculiar bouncy, explosive bolt",特别能弹跳的爆炸魔法弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/grenade_anti.xml"") | 状态修正: c.fire_rate_wait += 30; c.screenshake += 4.0; c.child_speed_multiplier *= 0.75",6
51,GRENADE_LARGE,ACTION_TYPE_PROJECTILE,Dropper bolt,坠落弹,80,35,150,"0,1,2,3,4,5","0.4,0.4,0.4,0.4,0.4,0.4",data/entities/projectiles/deck/grenade_large.xml,data/entities/misc/custom_cards/grenade.xml,,,A very heavy explosive bolt,极为沉重的爆炸魔法弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/grenade_large.xml"") | 状态修正: c.fire_rate_wait += 40; c.screenshake += 5.0; c.child_speed_multiplier *= 0.75",6
52,MINE,ACTION_TYPE_PROJECTILE,Unstable crystal,不稳晶体,20,15,200,"1,3,4,6","1,0.75,1,0.5",data/entities/projectiles/deck/mine.xml,,,,A crystal that explodes when someone comes nearby,有人来到近旁便会爆炸的晶体,"投射物/触发: add_projectile(""data/entities/projectiles/deck/mine.xml"") | 状态修正: c.fire_rate_wait += 30; c.child_speed_multiplier *= 0.75; c.speed_multiplier *= 0.75",11
53,MINE_DEATH_TRIGGER,ACTION_TYPE_PROJECTILE,Unstable crystal with trigger,带有触发的不稳晶体,20,15,240,"2,6","1,1",data/entities/projectiles/deck/mine.xml,,,,A crystal that explodes and casts another spell when someone comes nearby,有人来到近旁便会爆炸，同时施放另一法术的晶体,"投射物/触发: add_projectile_trigger_death(""data/entities/projectiles/deck/mine.xml"", 1) | 状态修正: c.fire_rate_wait += 30; c.child_speed_multiplier *= 0.75; c.speed_multiplier *= 0.75",11
54,PIPE_BOMB,ACTION_TYPE_PROJECTILE,Dormant crystal,休眠晶体,20,20,200,"2,3,4","1,1,0.6",data/entities/projectiles/deck/pipe_bomb.xml,,,,A crystal that explodes when caught in an explosion,被爆炸波及便会爆炸的晶体,"投射物/触发: add_projectile(""data/entities/projectiles/deck/pipe_bomb.xml"") | 状态修正: c.fire_rate_wait += 30; c.child_speed_multiplier *= 0.75; c.speed_multiplier *= 0.75",10
55,PIPE_BOMB_DEATH_TRIGGER,ACTION_TYPE_PROJECTILE,Dormant crystal with trigger,带有触发的休眠晶体,20,20,230,"2,3,4,5","0.6,0.8,1,0.8",data/entities/projectiles/deck/pipe_bomb.xml,,,,A crystal that explodes and casts another spell when caught in an explosion,被爆炸波及便会爆炸，同时施放另一法术的晶体,"投射物/触发: add_projectile_trigger_death(""data/entities/projectiles/deck/pipe_bomb.xml"", 1) | 状态修正: c.fire_rate_wait += 30; c.child_speed_multiplier *= 0.75; c.speed_multiplier *= 0.75",11
56,FISH,ACTION_TYPE_PROJECTILE,Summon fish,召唤鱼类,90,20,250,"3,4,5","0.01,0.01,0.01",data/entities/projectiles/deck/fish.xml,,,,FISH!,是鱼！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/fish.xml"") | 状态修正: c.fire_rate_wait += 80",2
57,EXPLODING_DEER,ACTION_TYPE_PROJECTILE,Summon deercoy,召唤鹿诱饵,120,10,170,"3,4,5","0.6,0.6,0.6",data/entities/projectiles/deck/exploding_deer.xml,,,,Summons a seemingly-innocuous deer,召唤一只看上去无害的鹿,"投射物/触发: add_projectile(""data/entities/projectiles/deck/exploding_deer.xml"") | 状态修正: c.fire_rate_wait += 80",2
58,EXPLODING_DUCKS,ACTION_TYPE_PROJECTILE,Flock of Ducks,鸭群,100,20,200,"3,4,5","0.8,0.5,0.6",data/entities/projectiles/deck/duck.xml,,,,Summons a chaotic flock of spicy ducks,召唤一群无秩序的火辣鸭子,"投射物/触发: add_projectile(""data/entities/projectiles/deck/duck.xml""); add_projectile(""data/entities/projectiles/deck/duck.xml""); add_projectile(""data/entities/projectiles/deck/duck.xml"") | 状态修正: c.fire_rate_wait += 60; current_reload_time += 20",5
